MMFE8 VMM CH  Gain      Pedestal  (PDO = Q*G + P)
102   0   1   9.28e+00  2.01e+01  
102   0   2   9.55e+00  2.27e+01  
102   0   4   1.03e+01  1.69e+01  
102   0   5   9.88e+00  -2.53e+00 
102   0   6   1.18e+01  2.02e+01  
102   0   7   1.04e+01  3.01e+01  
102   0   8   9.65e+00  3.23e+01  
102   0   9   1.01e+01  2.67e+01  
102   0   10  1.02e+01  6.34e+00  
102   0   11  1.06e+01  1.65e+01  
102   0   12  1.10e+01  3.79e+00  
102   0   13  1.20e+01  -1.36e+01 
102   0   14  1.04e+01  -7.01e+00 
102   0   15  1.03e+01  1.80e+01  
102   0   16  1.11e+01  2.42e+01  
102   0   17  1.09e+01  2.01e+00  
102   0   19  1.07e+01  6.51e+00  
102   0   20  1.05e+01  8.48e+00  
102   0   21  1.05e+01  2.69e+01  
102   0   22  1.84e+01  4.27e+01  
102   0   23  1.09e+01  -7.39e+00 
102   0   25  1.17e+01  -2.21e+01 
102   0   26  9.80e+00  -7.47e+00 
102   0   27  1.06e+01  2.59e+00  
102   0   28  1.17e+01  6.70e-01  
102   0   29  1.05e+01  2.76e+01  
102   0   30  9.87e+00  6.89e+00  
102   0   31  1.42e+01  -3.79e+01 
102   0   32  1.10e+01  2.23e+00  
102   0   33  1.01e+01  8.31e+00  
102   0   34  9.57e+00  8.63e+00  
102   0   35  1.16e+01  -2.66e+01 
102   0   36  1.03e+01  1.11e+01  
102   0   37  1.34e+01  -1.64e+02 
102   0   38  1.12e+01  -1.90e+01 
102   0   39  1.22e+01  -3.94e+01 
102   0   40  1.10e+01  7.55e+00  
102   0   41  1.10e+01  -1.37e+01 
102   0   42  1.19e+01  -3.54e+00 
102   0   43  9.86e+00  -1.66e+01 
102   0   44  1.09e+01  -9.70e+00 
102   0   45  1.10e+01  -1.65e+01 
102   0   46  1.01e+01  -2.42e+00 
102   0   47  9.46e+00  3.77e+01  
102   0   48  9.05e+00  5.42e+01  
102   0   49  1.02e+01  -1.46e+01 
102   0   50  2.33e+00  8.74e+01  
102   0   51  9.89e+00  -2.29e+00 
102   0   52  1.02e+01  2.77e+01  
102   0   53  9.52e+00  -9.19e+00 
102   0   54  1.01e+01  1.49e+01  
102   0   55  1.04e+01  2.30e+01  
102   0   56  9.47e+00  1.03e+01  
102   0   57  8.92e+00  1.26e+01  
102   0   58  1.10e+01  7.71e+00  
102   0   59  1.09e+01  1.59e+01  
102   0   61  1.32e+04  -2.44e+06 
102   0   62  1.01e+01  1.71e+01  
102   0   63  9.78e+00  2.29e+01  
102   0   64  9.28e+00  1.18e+01  
102   1   1   9.13e+00  2.22e+01  
102   1   2   9.41e+00  2.34e+01  
102   1   3   1.09e+01  2.51e+01  
102   1   4   9.70e+00  5.97e+01  
102   1   5   8.36e+00  1.21e+01  
102   1   6   9.68e+00  1.31e+01  
102   1   7   8.79e+00  2.09e+01  
102   1   8   8.40e+00  2.13e+01  
102   1   9   9.51e+00  2.72e+01  
102   1   10  8.77e+00  1.79e+01  
102   1   11  1.01e+01  4.95e+01  
102   1   12  1.06e+01  2.47e+01  
102   1   13  9.06e+00  1.50e+01  
102   1   14  8.95e+00  4.36e+01  
102   1   15  9.70e+00  8.76e+00  
102   1   16  9.32e+00  3.19e+01  
102   1   17  1.07e+01  3.77e+01  
102   1   18  8.95e+00  3.76e+01  
102   1   19  9.95e+00  2.70e+01  
102   1   20  9.28e+00  1.41e+01  
