MMFE8 VMM CH  Gain      Pedestal  (TDO = time*G + P)
102   0   1   1.27e+00  1.21e+01  
102   0   2   3.50e-01  2.26e+01  
102   0   4   1.42e+00  8.19e+00  
102   0   5   1.23e+00  1.06e+01  
102   0   6   1.43e+00  9.18e+00  
102   0   7   1.46e+00  1.08e+01  
102   0   8   1.49e+00  1.04e+01  
102   0   9   1.40e+00  1.15e+01  
102   0   10  1.52e+00  1.00e+01  
102   0   11  1.47e+00  8.68e+00  
102   0   12  1.36e+00  7.95e+00  
102   0   13  1.32e+00  9.44e+00  
102   0   14  1.24e+00  6.54e+00  
102   0   15  1.40e+00  6.52e+00  
102   0   16  8.10e-01  8.87e+00  
102   0   17  1.27e+00  1.11e+01  
102   0   19  1.33e+00  1.04e+01  
102   0   20  1.75e+00  2.13e+00  
102   0   21  1.21e+00  1.09e+01  
102   0   22  9.75e-01  8.81e+00  
102   0   23  1.62e+00  4.70e+00  
102   0   25  1.16e+00  -1.25e+01 
102   0   26  1.28e+00  7.00e+00  
102   0   27  1.12e+00  7.01e+00  
102   0   28  1.32e+00  1.56e+00  
102   0   29  1.25e+00  1.14e+01  
102   0   30  1.31e+00  8.65e+00  
102   0   31  8.50e-01  1.34e+01  
102   0   32  1.25e+00  8.39e+00  
102   0   33  9.75e-01  1.18e+01  
102   0   34  1.06e+00  6.76e+00  
102   0   35  1.10e+00  9.22e+00  
102   0   36  1.10e+00  1.03e+01  
102   0   37  1.36e+00  3.05e+00  
102   0   38  1.23e+00  4.62e+00  
102   0   39  1.04e+00  6.95e+00  
102   0   40  1.33e+00  7.32e+00  
102   0   41  1.10e+00  5.25e+00  
102   0   42  1.35e+00  -1.18e+01 
102   0   43  1.24e+00  3.45e+00  
102   0   44  1.01e+00  4.23e-01  
102   0   45  1.12e+00  9.98e+00  
102   0   46  1.25e+00  1.14e+01  
102   0   47  9.94e-01  8.57e+00  
102   0   48  1.33e+00  8.40e+00  
102   0   49  1.28e+00  4.97e+00  
102   0   51  1.24e+00  5.45e+00  
102   0   52  1.39e+00  6.64e+00  
102   0   53  1.45e+00  1.39e+01  
102   0   54  1.70e+00  6.70e+00  
102   0   55  1.25e+00  4.35e+00  
102   0   56  1.20e+00  1.20e+01  
102   0   57  1.53e+00  1.39e+01  
102   0   58  1.14e+00  9.79e+00  
102   0   59  1.43e+00  1.42e+01  
102   0   62  1.40e+00  7.44e+00  
102   0   63  1.41e+00  1.14e+01  
102   0   64  1.19e+00  1.72e+01  
102   1   1   1.54e+00  1.27e+01  
102   1   2   1.59e+00  1.11e+01  
102   1   3   7.34e-01  2.68e+01  
102   1   4   1.23e+00  8.59e+00  
102   1   5   1.65e+00  4.33e+00  
102   1   6   1.39e+00  1.46e+01  
102   1   7   1.57e+00  7.41e+00  
102   1   8   1.58e+00  1.23e+01  
102   1   9   1.21e+00  8.83e+00  
102   1   10  1.21e+00  8.91e+00  
102   1   11  1.32e+00  9.52e+00  
102   1   12  1.37e+00  9.87e+00  
102   1   13  6.66e-01  1.67e+01  
102   1   14  1.45e+00  8.90e+00  
102   1   15  1.39e+00  1.06e+01  
102   1   16  1.34e+00  1.23e+01  
102   1   18  1.24e+00  1.65e+01  
102   1   19  1.31e+00  9.62e+00  
102   1   20  1.02e+00  6.23e+00  
102   1   21  9.80e-01  1.17e+01  
102   1   22  1.28e+00  1.20e+01  
102   1   23  8.84e-01  1.39e+01  
102   1   24  1.08e+00  1.25e+01  
102   1   25  1.26e+00  8.25e+00  
102   1   26  1.39e+00  7.68e+00  
102   1   27  1.13e+00  9.88e+00  
102   1   28  1.16e+00  1.25e+01  
102   1   29  1.15e+00  9.66e+00  
102   1   30  1.33e+00  9.35e+00  
102   1   31  1.06e+00  6.72e+00  
102   1   32  1.32e+00  8.55e+00  
102   1   33  1.06e+00  7.78e+00  
102   1   34  1.30e+00  5.71e+00  
102   1   35  2.01e+00  -1.16e+00 
102   1   36  8.28e-01  9.65e+00  
102   1   37  1.09e+00  9.35e+00  
102   1   39  1.14e+00  5.80e+00  
102   1   40  1.31e+00  8.63e+00  
102   1   41  1.13e+00  9.91e+00  
102   1   42  1.10e+00  1.23e+01  
102   1   43  1.54e+00  8.76e+00  
102   1   44  1.07e+00  8.62e+00  
102   1   45  1.42e+00  8.23e+00  
102   1   46  1.92e+00  1.05e+00  
102   1   47  1.31e+00  7.68e+00  
102   1   48  1.46e+00  8.81e+00  
102   1   49  1.50e+00  1.03e+01  
102   1   51  1.38e+00  1.17e+01  
102   1   52  1.42e+00  1.43e+01  
102   1   53  1.48e+00  1.05e+01  
102   1   54  1.43e+00  5.15e+00  
102   1   55  1.10e+00  1.02e+01  
102   1   56  1.50e+00  1.52e+01  
102   1   57  1.52e+00  1.30e+01  
102   1   58  1.54e+00  8.74e+00  
102   1   59  1.43e+00  1.02e+01  
102   1   60  1.66e+00  1.12e+01  
102   1   61  8.60e-01  1.92e+01  
102   1   62  1.40e+00  1.15e+01  
102   1   63  1.42e+00  1.43e+01  
102   1   64  1.64e+00  -6.46e+00 
102   2   1   1.57e+00  1.23e+01  
102   2   2   1.63e+00  1.96e+01  
102   2   5   1.65e+00  1.04e+01  
102   2   6   1.63e+00  1.17e+01  
102   2   7   1.74e+00  1.03e+01  
102   2   8   1.53e+00  1.08e+01  
102   2   9   1.55e+00  9.67e+00  
102   2   10  1.17e+00  1.14e+01  
102   2   11  1.64e+00  7.45e+00  
102   2   12  1.43e+00  1.11e+01  
102   2   13  1.58e+00  1.23e+01  
102   2   14  1.16e+00  1.75e+01  
102   2   15  1.35e+00  1.61e+01  
102   2   16  1.43e+00  1.61e+01  
102   2   17  1.34e+00  1.63e+01  
102   2   18  1.54e+00  1.28e+01  
102   2   19  1.45e+00  1.78e+01  
102   2   20  1.45e+00  1.48e+01  
102   2   21  1.28e+00  1.60e+01  
102   2   22  1.43e+00  1.61e+01  
102   2   23  1.31e+00  8.61e+00  
102   2   24  1.29e+00  1.09e+01  
102   2   25  1.40e+00  2.15e+01  
102   2   27  1.28e+00  1.60e+01  
102   2   28  1.25e+00  1.34e+01  
102   2   29  1.33e+00  1.64e+01  
102   2   30  1.50e+00  1.33e+01  
102   2   31  1.67e+00  8.11e+00  
102   2   32  1.44e+00  9.95e+00  
102   2   33  1.58e+00  1.02e+01  
102   2   34  1.51e+00  8.13e+00  
102   2   35  1.37e+00  1.48e+01  
102   2   36  1.32e+00  1.55e+01  
102   2   37  1.38e+00  8.75e+00  
102   2   38  1.61e+00  1.99e+01  
102   2   39  1.54e+00  1.28e+01  
102   2   40  1.56e+00  9.55e+00  
102   2   41  1.36e+00  2.09e+01  
102   2   42  1.10e+00  1.33e+01  
102   2   43  1.47e+00  1.46e+01  
102   2   44  1.65e+00  1.14e+01  
102   2   45  1.60e+00  1.20e+01  
102   2   47  1.51e+00  1.32e+01  
102   2   48  1.77e+00  1.08e+01  
102   2   49  1.25e+00  1.64e+01  
102   2   50  1.37e+00  7.90e+00  
102   2   51  1.53e+00  1.28e+01  
102   2   52  1.57e+00  1.23e+01  
102   2   53  1.47e+00  1.06e+01  
102   2   54  1.19e+00  1.61e+01  
102   2   55  1.63e+00  1.37e+01  
102   2   56  1.55e+00  1.56e+01  
102   2   57  1.49e+00  1.84e+01  
102   2   58  1.49e+00  1.64e+01  
102   2   59  1.75e+00  1.21e+01  
102   2   60  1.61e+00  1.29e+01  
102   2   61  1.70e+00  1.57e+01  
102   2   62  1.71e+00  1.36e+01  
102   2   63  1.83e+00  1.71e+01  
102   2   64  1.72e+00  1.46e+01  
102   3   1   1.45e+00  2.69e+01  
102   3   2   1.58e+00  2.12e+01  
102   3   3   1.39e+00  2.97e+01  
102   3   4   1.42e+00  2.43e+01  
102   3   5   1.75e+00  2.11e+01  
102   3   6   1.32e+00  2.35e+01  
102   3   7   1.56e+00  2.15e+01  
102   3   8   1.53e+00  2.48e+01  
102   3   9   1.33e+00  1.64e+01  
102   3   10  1.36e+00  1.70e+01  
102   3   11  1.77e+00  1.89e+01  
102   3   12  1.59e+00  1.62e+01  
102   3   13  1.68e+00  2.70e+01  
102   3   14  1.44e+00  2.99e+01  
102   3   15  1.54e+00  2.48e+01  
102   3   16  1.35e+00  3.11e+01  
102   3   17  1.53e+00  2.88e+01  
102   3   18  1.52e+00  2.40e+01  
102   3   19  1.25e+00  3.23e+01  
102   3   20  1.75e+00  3.41e+01  
102   3   21  1.60e+00  2.60e+01  
102   3   22  1.45e+00  2.99e+01  
102   3   23  1.44e+00  2.70e+01  
102   3   24  1.46e+00  3.68e+01  
102   3   25  1.56e+00  3.65e+01  
102   3   26  1.74e+00  3.43e+01  
102   3   27  1.86e+00  3.28e+01  
102   3   28  1.64e+00  2.55e+01  
102   3   29  1.17e+00  3.34e+01  
102   3   30  1.71e+00  2.46e+01  
102   3   31  1.43e+00  2.42e+01  
102   3   32  1.45e+00  3.59e+01  
102   3   33  1.46e+00  3.07e+01  
102   3   34  1.24e+00  2.45e+01  
102   3   35  1.43e+00  3.02e+01  
102   3   36  1.60e+00  2.80e+01  
102   3   37  1.33e+00  3.64e+01  
102   3   38  1.66e+00  2.52e+01  
102   3   39  1.55e+00  2.76e+01  
102   3   40  1.79e+00  2.57e+01  
102   3   41  1.72e+00  1.85e+01  
102   3   42  1.40e+00  1.65e+01  
102   3   44  1.62e+00  1.47e+01  
102   3   45  1.71e+00  1.46e+01  
102   3   46  1.65e+00  1.94e+01  
102   3   47  1.87e+00  1.07e+01  
102   3   48  1.55e+00  1.57e+01  
102   3   49  1.66e+00  1.82e+01  
102   3   50  1.62e+00  1.57e+01  
102   3   51  1.72e+00  1.05e+01  
102   3   52  1.97e+00  2.24e+01  
102   3   53  1.67e+00  1.71e+01  
102   3   54  1.76e+00  1.71e+01  
102   3   55  1.61e+00  1.79e+01  
102   3   56  1.52e+00  1.70e+01  
102   3   57  1.90e+00  2.13e+01  
102   3   58  1.58e+00  2.02e+01  
102   3   59  1.51e+00  1.32e+01  
102   3   60  1.74e+00  1.83e+01  
102   3   61  1.92e+00  1.70e+01  
102   3   62  2.02e+00  1.87e+01  
102   3   63  1.50e+00  2.13e+01  
102   3   64  1.80e+00  2.05e+01  
102   4   1   1.55e+00  2.06e+01  
102   4   2   1.58e+00  2.02e+01  
102   4   3   1.93e+00  1.99e+01  
102   4   4   1.66e+00  1.42e+01  
102   4   5   1.50e+00  2.13e+01  
102   4   6   1.38e+00  1.48e+01  
102   4   7   1.53e+00  1.29e+01  
102   4   8   1.45e+00  1.89e+01  
102   4   10  1.62e+00  1.77e+01  
102   4   11  1.52e+00  1.30e+01  
102   4   12  1.45e+00  2.18e+01  
102   4   13  1.24e+00  1.74e+01  
102   4   14  1.39e+00  2.26e+01  
102   4   15  1.66e+00  1.92e+01  
102   4   16  1.14e+00  1.38e+01  
102   4   17  1.67e+00  1.92e+01  
102   4   18  1.24e+00  1.65e+01  
102   4   19  1.49e+00  1.63e+01  
102   4   20  1.31e+00  2.37e+01  
102   4   21  1.20e+00  2.30e+01  
102   4   22  1.29e+00  2.58e+01  
102   4   23  9.92e-01  2.76e+01  
102   4   24  1.19e+00  2.71e+01  
102   4   25  1.17e+00  2.44e+01  
102   4   26  1.07e+00  2.67e+01  
102   4   27  1.32e+00  2.35e+01  
102   4   28  1.39e+00  2.56e+01  
102   4   29  6.40e-01  2.80e+01  
102   4   30  1.30e+00  2.38e+01  
102   4   31  1.27e+00  1.61e+01  
102   4   32  1.51e+00  2.12e+01  
102   4   33  1.67e+00  1.91e+01  
102   4   34  1.60e+00  1.20e+01  
102   4   35  1.21e+00  1.68e+01  
102   4   36  1.14e+00  1.78e+01  
102   4   37  1.05e+00  1.88e+01  
102   4   38  1.06e+00  2.38e+01  
102   4   40  1.36e+00  1.49e+01  
102   4   41  1.79e+00  1.86e+01  
102   4   42  1.35e+00  1.61e+01  
102   4   43  1.45e+00  1.38e+01  
102   4   44  1.47e+00  1.66e+01  
102   4   45  1.24e+00  1.65e+01  
102   4   46  1.37e+00  1.59e+01  
102   4   47  1.41e+00  1.44e+01  
102   4   48  1.49e+00  1.04e+01  
102   4   49  1.40e+00  1.65e+01  
102   4   50  1.45e+00  1.69e+01  
102   4   51  1.14e+00  1.77e+01  
102   4   52  1.39e+00  1.46e+01  
102   4   53  1.68e+00  1.20e+01  
102   4   54  1.46e+00  2.28e+01  
