VMM=0, CKTPrunning=1, PDAC=40, XADC=984, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=742, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=630, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=544, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=449, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=453, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=616, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=684, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=982, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=742, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=632, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=545, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=450, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=454, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=615, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=685, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=984, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=741, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=632, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=540, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=445, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=454, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=611, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=681, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=983, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=743, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=630, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=545, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=450, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=453, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=616, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=683, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=980, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=740, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=633, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=546, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=450, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=456, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=615, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=685, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=984, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=742, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=630, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=542, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=451, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=455, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=615, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=683, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=988, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=746, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=636, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=548, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=453, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=457, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=618, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=688, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=981, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=740, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=631, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=544, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=448, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=456, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=616, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=684, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=982, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=742, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=629, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=545, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=450, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=455, MMFE8=126
VMM=6, CKTPrunning=1, PDAC=40, XADC=616, MMFE8=126
VMM=7, CKTPrunning=1, PDAC=40, XADC=684, MMFE8=126
VMM=0, CKTPrunning=1, PDAC=40, XADC=984, MMFE8=126
VMM=1, CKTPrunning=1, PDAC=40, XADC=743, MMFE8=126
VMM=2, CKTPrunning=1, PDAC=40, XADC=630, MMFE8=126
VMM=3, CKTPrunning=1, PDAC=40, XADC=543, MMFE8=126
VMM=4, CKTPrunning=1, PDAC=40, XADC=449, MMFE8=126
VMM=5, CKTPrunning=1, PDAC=40, XADC=456, MMFE8=126
