VMM=0, CKTPrunning=1, PDAC=40, XADC=679, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=504, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=454, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=465, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=466, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=456, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=381, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=446, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=679, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=502, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=457, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=466, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=466, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=456, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=381, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=447, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=675, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=498, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=452, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=460, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=462, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=452, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=381, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=444, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=680, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=503, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=453, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=464, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=465, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=453, MMFE8=0
