VMM=0, CKTPrunning=1, PDAC=40, XADC=587, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=596, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=451, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=344, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=472, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=499, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=391, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=414, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=589, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=597, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=453, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=347, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=473, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=505, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=394, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=417, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=590, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=598, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=454, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=345, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=470, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=503, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=392, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=419, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=586, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=598, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=453, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=40, XADC=346, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=40, XADC=469, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=40, XADC=504, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=40, XADC=396, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=40, XADC=418, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=40, XADC=590, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=40, XADC=597, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=40, XADC=451, MMFE8=0
