VMM=0, CKTPrunning=1, PDAC=100, XADC=668, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=100, XADC=621, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=100, XADC=555, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=100, XADC=543, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=100, XADC=402, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=100, XADC=519, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=100, XADC=440, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=100, XADC=500, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=100, XADC=665, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=100, XADC=617, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=100, XADC=553, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=100, XADC=544, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=100, XADC=407, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=100, XADC=518, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=100, XADC=437, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=100, XADC=499, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=100, XADC=665, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=100, XADC=619, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=100, XADC=551, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=100, XADC=542, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=100, XADC=399, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=100, XADC=512, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=100, XADC=432, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=100, XADC=496, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=100, XADC=666, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=100, XADC=621, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=100, XADC=552, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=100, XADC=544, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=100, XADC=405, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=100, XADC=517, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=100, XADC=435, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=100, XADC=497, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=100, XADC=663, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=100, XADC=620, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=100, XADC=555, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=100, XADC=545, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=100, XADC=406, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=100, XADC=518, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=100, XADC=436, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=100, XADC=497, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=100, XADC=664, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=100, XADC=622, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=100, XADC=552, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=100, XADC=544, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=100, XADC=403, MMFE8=0
VMM=5, CKTPrunning=1, PDAC=100, XADC=519, MMFE8=0
VMM=6, CKTPrunning=1, PDAC=100, XADC=438, MMFE8=0
VMM=7, CKTPrunning=1, PDAC=100, XADC=497, MMFE8=0
VMM=0, CKTPrunning=1, PDAC=100, XADC=668, MMFE8=0
VMM=1, CKTPrunning=1, PDAC=100, XADC=622, MMFE8=0
VMM=2, CKTPrunning=1, PDAC=100, XADC=553, MMFE8=0
VMM=3, CKTPrunning=1, PDAC=100, XADC=543, MMFE8=0
VMM=4, CKTPrunning=1, PDAC=100, XADC=402, MMFE8=0
